鹤发垂肩尺许长，离家三十五端阳。  ──殷尧藩《同州端午》
羡青山有思，白鹤忘机。  ──汤恢《八声甘州·摘青梅荐酒》
水满田畴稻叶齐，日光穿树晓烟低。  ──徐玑《新凉》
清明过了，不堪回首，云锁朱楼。  ──朱淑真《眼儿媚·风日迟迟弄轻柔》
昨夜斗回北，今朝岁起东。  ──孟浩然《田家元日》
怀旧空吟闻笛赋，到乡翻似烂柯人。  ──刘禹锡《酬乐天扬州初逢席上见赠》
闻道梅花坼晓风，雪堆遍满四山中。  ──陆游《梅花绝句》
因依老宿发心初，半学修心半读书。  ──王建《寄旧山僧》
车遥遥兮马洋洋，追思君兮不可忘。  ──傅玄《车遥遥篇》
唤起封姨清晚景，更将荔子荐新圆。  ──张孝祥《浣溪沙·中秋坐上十八客》
小雨湿黄昏。重午佳辰独掩门。  ──李之仪《南乡子·端午》
落红不是无情物，化作春泥更护花。  ──龚自珍《己亥杂诗·其五》
怕黄昏忽地又黄昏，不销魂怎地不销魂。  ──王实甫《十二月过尧民歌·别情》
初惊河汉落，半洒云天里。  ──李白《望庐山瀑布水二首》
乍咽凉柯，还移暗叶，重把离愁深诉。  ──王沂孙《齐天乐·蝉》
天门中断楚江开，碧水东流至此回。  ──李白《望天门山》
鹤发垂肩尺许长，离家三十五端阳。  ──殷尧藩《同州端午》
野火烧不尽，春风吹又生。  ──白居易《草 / 赋得古原草送别》
中山人予之猫，猫善捕鼠及鸡。  ──刘基《乞猫》
水际轻烟，沙边微雨。荷花芳草垂杨渡。  ──刘将孙《踏莎行·闲游》
荷笠带斜阳，青山独归远。  ──刘长卿《送灵澈上人》
落日胡尘未断，西风塞马空肥。  ──辛弃疾《木兰花慢·席上送张仲固帅兴元》
冥冥重泉哭不闻，萧萧暮雨人归去。  ──白居易《寒食野望吟》
小男供饵妇搓丝，溢榼香醪倒接罹。  ──李郢《南池》
团扇不摇风自举，盈盈翠竹，纤纤白苎，不受些儿暑。  ──文征明《青玉案·庭下石榴花乱吐》
秋风萧瑟天气凉，草木摇落露为霜，群燕辞归鹄南翔。  ──曹丕《燕歌行二首·其一》
新竹高于旧竹枝，全凭老干为扶持。  ──郑燮《新竹》
金吾不禁夜，玉漏莫相催。  ──苏味道《正月十五夜》
总是愁媒，欲诉谁消遣。  ──苏轼《蝶恋花·蝶懒莺慵春过半》
山随平野尽，江入大荒流。  ──李白《渡荆门送别》
读书不觉已春深，一寸光阴一寸金。  ──王贞白《白鹿洞二首·其一》
忆得盈盈拾翠侣，共携赏、凤城寒食。  ──李甲《帝台春·芳草碧色》
此花此叶常相映，翠减红衰愁杀人。  ──李商隐《赠荷花》
雨中禁火空斋冷，江上流莺独坐听。  ──韦应物《寒食寄京师诸弟》
一往情深深几许？深山夕照深秋雨。  ──纳兰性德《蝶恋花·出塞》
共眠一舸听秋雨，小簟轻衾各自寒。  ──朱彝尊《桂殿秋·思往事》
两情缠绵忽如故。复畏秋风生晓路。  ──王建《七夕曲》
雨里鸡鸣一两家，竹溪村路板桥斜。  ──王建《雨过山村》
细雨斜风作晓寒。淡烟疏柳媚晴滩。  ──苏轼《浣溪沙·元丰七年十二月二十四日从泗州刘倩叔游南山》
屈子冤魂终古在，楚乡遗俗至今留。  ──边贡《午日观竞渡》
家童扫萝径，昨与故人期。  ──钱起《谷口书斋寄杨补阙》
箫鼓喧，人影参差，满路飘香麝。  ──周邦彦《解语花·上元》
今夕不登楼，一年空过秋。  ──高观国《菩萨蛮·何须急管吹云暝》
锦江近西烟水绿，新雨山头荔枝熟。  ──张籍《成都曲》
黄河水绕汉宫墙，河上秋风雁几行。  ──李梦阳《秋望》
汉寝唐陵无麦饭，山溪野径有梨花。  ──赵鼎《寒食》
海风吹不断，江月照还空。  ──李白《望庐山瀑布水二首》
叶暗乳鸦啼，风定老红犹落。  ──蒋元龙《好事近·叶暗乳鸦啼》
会当凌绝顶，一览众山小。  ──杜甫《望岳》
旧游无处不堪寻。无寻处，惟有少年心。  ──章良能《小重山·柳暗花明春事深》
桃红复含宿雨，柳绿更带朝烟。  ──王维《田园乐七首·其六》
南国有佳人，容华若桃李。  ──曹植《杂诗·南国有佳人》
搴帷拜母河梁去，白发愁看泪眼枯。  ──黄景仁《别老母》
